transaction_id,contractor_or_beneficiary,amount,date,agency,purpose,anchored_hash,day_of_year,anomaly_score_rf,anomaly_score_xgb,anomaly_score_gb,anomaly_score_ensemble,is_anomaly_predicted,risk_level
1,Individual Aid Recipient 894,46400.77,2025-11-24,HHS,Services,antigrav_hash_00000000,328,0.0,6.3096563e-06,1.5936081644448908e-08,2.108530803243187e-06,0,LOW
2,Individual Aid Recipient 627,17900.85,2025-02-27,DOD,Research,antigrav_hash_00000001,58,0.388977,0.00016964774,0.4337780459382244,0.274308231226452,0,LOW
3,Individual Aid Recipient 621,58193.72,2025-01-13,DOT,Services,antigrav_hash_00000002,13,0.433977,0.00014576956,0.4337780459382244,0.28930027183328844,0,LOW
4,Individual Aid Recipient 442,216326.64,2025-05-21,HHS,Research,antigrav_hash_00000003,141,0.0,2.8355258e-05,1.5936081644448908e-08,9.457064730386039e-06,0,LOW
5,Individual Aid Recipient 343,15502.71,2025-05-06,DOD,Construction,antigrav_hash_00000004,126,0.0,1.28930515e-05,1.5936081644448908e-08,4.302995847886528e-06,0,LOW
6,Individual Aid Recipient 817,15503.09,2025-04-25,Education,Construction,antigrav_hash_00000005,115,0.0,1.12759835e-05,1.5936081644448908e-08,3.763973202109282e-06,0,LOW
7,Individual Aid Recipient 652,235347.69,2025-03-13,DOD,Construction,antigrav_hash_00000006,72,0.283977,0.00030658778,1.5936081644448908e-08,0.09476120123959002,0,LOW
8,Individual Aid Recipient 780,69644.02,2025-02-22,HHS,Services,antigrav_hash_00000007,53,0.388977,0.00046171277,0.4337780459382244,0.2744055862362847,0,LOW
9,Individual Aid Recipient 888,10892.05,2025-12-13,Education,Equipment,antigrav_hash_00000008,347,0.0,1.3387354e-05,1.5936081644448908e-08,4.467763242873619e-06,0,LOW
10,Individual Aid Recipient 78,49703.97,2025-10-07,Education,Construction,antigrav_hash_00000009,280,0.0,5.6532904e-06,1.5936081644448908e-08,1.88974215145489e-06,0,LOW
11,Individual Aid Recipient 539,10991.46,2025-02-14,DOE,Services,antigrav_hash_0000000a,45,0.388977,0.00015826304,0.4337780459382244,0.2743044363246417,0,LOW
12,Individual Aid Recipient 389,10953.4,2025-10-30,DOE,Research,antigrav_hash_0000000b,303,0.0,6.3386665e-06,1.5936081644448908e-08,2.1182008540773373e-06,0,LOW
13,Individual Aid Recipient 723,31664.25,2025-08-05,HHS,Equipment,antigrav_hash_0000000c,217,0.0,6.5557306e-06,1.5936081644448908e-08,2.190555553494432e-06,0,LOW
14,Individual Aid Recipient 886,1248.98,2025-01-17,DOT,Equipment,antigrav_hash_0000000d,17,0.428977,0.00015293522,0.433778047954672,0.28763599439013654,0,LOW
15,Individual Aid Recipient 521,1656.77,2025-01-16,DOT,Construction,antigrav_hash_0000000e,16,0.428977,0.0001939746,0.433778047954672,0.28764967418483206,0,LOW
16,Individual Aid Recipient 542,9476.48,2025-02-17,DOD,Services,antigrav_hash_0000000f,48,0.388977,0.00018123379,0.4337780459382244,0.2743120932416953,0,LOW
17,Individual Aid Recipient 210,4821.08,2025-04-22,Education,Aid,antigrav_hash_00000010,112,0.0,2.4692015e-05,1.5936081644448908e-08,8.235983813413519e-06,0,LOW
18,Individual Aid Recipient 512,35290.57,2025-04-30,DOT,Research,antigrav_hash_00000011,120,0.0,2.007659e-05,1.5936081644448908e-08,6.697508648075885e-06,0,LOW
19,Individual Aid Recipient 310,5641.83,2025-09-16,DOE,Aid,antigrav_hash_00000012,259,0.0,6.2652134e-06,1.5936081644448908e-08,2.0937164987933585e-06,0,LOW
